peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	96253.30	ok	h2	0	0	0
proactr	h2	s4k	84994.70	ok	h2	0	0	0
proactr	h2	s64k	30488.90	ok	h2	0	0	0
proactr	h2	s1m	2215.80	ok	h2	0	0	0
proactr	h1s	plaintext	111729.80	ok	http/1.1	0	0	0
proactr	h1s	s4k	86941.80	ok	http/1.1	0	0	0
proactr	h1s	s64k	30553.50	ok	http/1.1	0	0	0
proactr	h1s	s1m	2598.90	ok	http/1.1	0	0	0
ntex	h2	plaintext	128477.90	ok	h2	0	0	0
ntex	h2	s4k	129834.20	ok	h2	0	0	0
ntex	h2	s64k	44087.00	ok	h2	0	0	0
ntex	h2	s1m	1017.80	ok	h2	0	0	0
ntex	h1s	plaintext	137403.10	ok	http/1.1	0	0	0
ntex	h1s	s4k	139035.50	ok	http/1.1	0	0	0
ntex	h1s	s64k	57248.60	ok	http/1.1	0	0	0
ntex	h1s	s1m	1995.50	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	150542.00	ok	http/1.1	0	0	0
drogon	h1s	s4k	149807.20	ok	http/1.1	0	0	0
drogon	h1s	s64k	65093.00	ok	http/1.1	0	0	0
drogon	h1s	s1m	8611.90	ok	http/1.1	0	0	0
