peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	179258.40	ok	h2	0	0	0
proactr	h2	s4k	153512.93	ok	h2	0	0	0
proactr	h2	s64k	5852.13	ok	h2	0	0	0
proactr	h2	s1m	976.20	ok	h2	0	0	0
proactr	h1s	plaintext	207490.53	ok	http/1.1	0	0	0
proactr	h1s	s4k	187296.53	ok	http/1.1	0	0	0
proactr	h1s	s64k	10631.67	ok	http/1.1	0	0	0
proactr	h1s	s1m	3806.87	ok	http/1.1	0	0	0
ntex	h2	plaintext	130448.00	ok	h2	0	0	0
ntex	h2	s4k	125035.73	ok	h2	0	0	0
ntex	h2	s64k	35112.27	ok	h2	0	0	0
ntex	h2	s1m	1149.33	ok	h2	0	0	0
ntex	h1s	plaintext	189181.67	ok	http/1.1	0	0	0
ntex	h1s	s4k	153007.00	ok	http/1.1	0	0	0
ntex	h1s	s64k	42255.13	ok	http/1.1	0	0	0
ntex	h1s	s1m	1818.00	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	No protocol negotiated. Fallback behaviour may be activatedhttp/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	212696.73	ok	http/1.1	0	0	0
drogon	h1s	s4k	183889.20	ok	http/1.1	0	0	0
drogon	h1s	s64k	49215.47	ok	http/1.1	0	0	0
drogon	h1s	s1m	4538.00	ok	http/1.1	0	0	0
go	h2	plaintext	91108.47	ok	h2	0	0	0
go	h2	s4k	87482.93	ok	h2	0	0	0
go	h2	s64k	32141.40	ok	h2	0	0	0
go	h2	s1m	3403.20	ok	h2	0	0	0
go	h1s	plaintext	168796.53	ok	http/1.1	0	0	0
go	h1s	s4k	101964.80	ok	http/1.1	0	0	0
go	h1s	s64k	45576.33	ok	http/1.1	0	0	0
go	h1s	s1m	4699.47	ok	http/1.1	0	0	0
