peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	182563.93	ok	h2	0	0	0
proactr	h2	s4k	152391.20	ok	h2	0	0	0
proactr	h2	s64k	6046.47	ok	h2	0	0	0
proactr	h2	s1m	1227.27	ok	h2	0	0	0
proactr	h1s	plaintext	207839.40	ok	http/1.1	0	0	0
proactr	h1s	s4k	182224.40	ok	http/1.1	0	0	0
proactr	h1s	s64k	18392.33	ok	http/1.1	0	0	0
proactr	h1s	s1m	3610.87	ok	http/1.1	0	0	0
ntex	h2	plaintext	145452.80	ok	h2	0	0	0
ntex	h2	s4k	123992.40	ok	h2	0	0	0
ntex	h2	s64k	36304.07	ok	h2	0	0	0
ntex	h2	s1m	1153.53	ok	h2	0	0	0
ntex	h1s	plaintext	179175.33	ok	http/1.1	0	0	0
ntex	h1s	s4k	156737.93	ok	http/1.1	0	0	0
ntex	h1s	s64k	44106.53	ok	http/1.1	0	0	0
ntex	h1s	s1m	1806.00	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	215371.00	ok	http/1.1	0	0	0
drogon	h1s	s4k	178787.13	ok	http/1.1	0	0	0
drogon	h1s	s64k	50124.67	ok	http/1.1	0	0	0
drogon	h1s	s1m	4595.67	ok	http/1.1	0	0	0
go	h2	plaintext	95373.87	ok	h2	0	0	0
go	h2	s4k	85414.33	ok	h2	0	0	0
go	h2	s64k	32019.93	ok	h2	0	0	0
go	h2	s1m	3405.73	ok	h2	0	0	0
go	h1s	plaintext	166896.73	ok	http/1.1	0	0	0
go	h1s	s4k	103346.13	ok	http/1.1	0	0	0
go	h1s	s64k	45307.73	ok	http/1.1	0	0	0
go	h1s	s1m	4937.13	ok	http/1.1	0	0	0
