peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	181061.47	ok	h2	0	0	0
proactr	h2	s4k	157958.53	ok	h2	0	0	0
proactr	h2	s64k	52443.80	ok	h2	0	0	0
proactr	h2	s1m	2919.00	ok	h2	0	0	0
proactr	h1s	plaintext	189145.80	ok	http/1.1	0	0	0
proactr	h1s	s4k	175842.93	ok	http/1.1	0	0	0
proactr	h1s	s64k	52128.73	ok	http/1.1	0	0	0
proactr	h1s	s1m	4680.93	ok	http/1.1	0	0	0
ntex	h2	plaintext	133033.13	ok	h2	0	0	0
ntex	h2	s4k	124270.53	ok	h2	0	0	0
ntex	h2	s64k	33639.67	ok	h2	0	0	0
ntex	h2	s1m	1151.73	ok	h2	0	0	0
ntex	h1s	plaintext	176266.27	ok	http/1.1	0	0	0
ntex	h1s	s4k	155217.80	ok	http/1.1	0	0	0
ntex	h1s	s64k	42407.20	ok	http/1.1	0	0	0
ntex	h1s	s1m	1814.87	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	209671.67	ok		0	0	0
drogon	h1s	s4k	184677.40	ok	http/1.1	0	0	0
drogon	h1s	s64k	48207.80	ok	http/1.1	0	0	0
drogon	h1s	s1m	4404.60	ok	http/1.1	0	0	0
go	h2	plaintext	91653.00	ok	h2	0	0	0
go	h2	s4k	88942.53	ok	h2	0	0	0
go	h2	s64k	34099.67	ok	h2	0	0	0
go	h2	s1m	3327.73	ok	h2	0	0	0
go	h1s	plaintext	166656.47	ok	http/1.1	0	0	0
go	h1s	s4k	104884.67	ok	http/1.1	0	0	0
go	h1s	s64k	45383.87	ok	http/1.1	0	0	0
go	h1s	s1m	4857.20	ok	http/1.1	0	0	0
