peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	93346.80	ok	h2	0	0	0
proactr	h2	s4k	78256.33	ok	h2	0	0	0
proactr	h2	s64k	27588.13	ok	h2	0	0	0
proactr	h2	s1m	1752.80	ok	h2	0	0	0
proactr	h1s	plaintext	116035.40	ok	http/1.1	0	0	0
proactr	h1s	s4k	99221.60	ok	http/1.1	0	0	0
proactr	h1s	s64k	29245.13	ok	http/1.1	0	0	0
proactr	h1s	s1m	2753.00	ok	http/1.1	0	0	0
ntex	h2	plaintext	127276.20	ok	h2	0	0	0
ntex	h2	s4k	130201.87	ok	h2	0	0	0
ntex	h2	s64k	47622.47	ok	h2	0	0	0
ntex	h2	s1m	1089.67	ok	h2	0	0	0
ntex	h1s	plaintext	136117.67	ok	http/1.1	0	0	0
ntex	h1s	s4k	138624.60	ok	http/1.1	0	0	0
ntex	h1s	s64k	58675.87	ok	http/1.1	0	0	0
ntex	h1s	s1m	2011.20	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	152412.33	ok	http/1.1	0	0	0
drogon	h1s	s4k	153816.60	ok	http/1.1	0	0	0
drogon	h1s	s64k	69724.53	ok	http/1.1	0	0	0
drogon	h1s	s1m	8923.07	ok	http/1.1	0	0	0
go	h2	plaintext	112936.67	ok	h2	0	0	0
go	h2	s4k	111749.33	ok	h2	0	0	0
go	h2	s64k	38278.80	ok	h2	0	0	0
go	h2	s1m	2989.73	ok	h2	0	0	0
go	h1s	plaintext	145066.27	ok	http/1.1	0	0	0
go	h1s	s4k	121342.00	ok	http/1.1	0	0	0
go	h1s	s64k	52535.27	ok	http/1.1	0	0	0
go	h1s	s1m	4913.27	ok	http/1.1	0	0	0
