peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h1s	plaintext	150002.60	ok	http/1.1	0	0	0
proactr	h1s	s4k	148878.00	ok	http/1.1	0	0	0
proactr	h1s	s64k	75288.60	ok	http/1.1	0	0	0
proactr	h1s	s1m	10293.30	ok	http/1.1	0	0	0
drogon	h1s	plaintext	152441.10	ok	http/1.1	0	0	0
drogon	h1s	s4k	150255.50	ok	http/1.1	0	0	0
drogon	h1s	s64k	65582.70	ok	http/1.1	0	0	0
drogon	h1s	s1m	8630.10	ok	http/1.1	0	0	0
proactr_p5	h1s	plaintext	111729.80	historical	http/1.1	0	0	0
proactr_p5	h1s	s4k	86941.80	historical	http/1.1	0	0	0
proactr_p5	h1s	s64k	30553.50	historical	http/1.1	0	0	0
proactr_p5	h1s	s1m	2598.90	historical	http/1.1	0	0	0
proactr_pre_shared_listen	h1s	plaintext	95722.90	historical	http/1.1	0	0	0
proactr_pre_shared_listen	h1s	s4k	84601.70	historical	http/1.1	0	0	0
proactr_pre_shared_listen	h1s	s64k	29144.30	historical	http/1.1	0	0	0
proactr_pre_shared_listen	h1s	s1m	2735.50	historical	http/1.1	0	0	0
