peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	94807.10	ok	h2	0	0	0
proactr	h2	s4k	81837.80	ok	h2	0	0	0
proactr	h2	s1m	2509.20	ok	h2	0	0	0
proactr	h1s	plaintext	118981.50	ok	http/1.1	0	0	0
proactr	h1s	s4k	103037.70	ok	http/1.1	0	0	0
proactr	h1s	s1m	2772.30	ok	http/1.1	0	0	0
ntex	h2	plaintext	125784.30	ok	h2	0	0	0
ntex	h2	s4k	128527.90	ok	h2	0	0	0
ntex	h2	s1m	1112.20	ok	h2	0	0	0
ntex	h1s	plaintext	135705.90	ok	http/1.1	0	0	0
ntex	h1s	s4k	139469.40	ok	http/1.1	0	0	0
ntex	h1s	s1m	2041.70	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	150911.40	ok	http/1.1	0	0	0
drogon	h1s	s4k	150907.70	ok	http/1.1	0	0	0
drogon	h1s	s1m	9215.50	ok	http/1.1	0	0	0
go	h2	plaintext	112206.60	ok	h2	0	0	0
go	h2	s4k	112265.60	ok	h2	0	0	0
go	h2	s1m	3251.90	ok	h2	0	0	0
go	h1s	plaintext	143768.60	ok	http/1.1	0	0	0
go	h1s	s4k	120381.20	ok	http/1.1	0	0	0
go	h1s	s1m	4801.90	ok	http/1.1	0	0	0
