peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h1s	plaintext	102413.60	ok	http/1.1	0	0	0
proactr	h1s	s4k	88422.30	ok	http/1.1	0	0	0
proactr	h1s	s1m	3084.40	ok	http/1.1	0	0	0
proactr	h2	plaintext	94747.00	ok	h2	0	0	0
proactr	h2	s4k	81913.50	ok	h2	0	0	0
proactr	h2	s1m	2487.60	ok	h2	0	0	0
drogon	h1s	plaintext	150635.50	ok	http/1.1	0	0	0
drogon	h1s	s4k	151375.70	ok	http/1.1	0	0	0
drogon	h1s	s1m	8778.60	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
ntex	h1s	plaintext	135984.40	ok	http/1.1	0	0	0
ntex	h1s	s4k	140589.00	ok	http/1.1	0	0	0
ntex	h1s	s1m	2002.50	ok	http/1.1	0	0	0
ntex	h2	plaintext	128775.30	ok	h2	0	0	0
ntex	h2	s4k	130097.60	ok	h2	0	0	0
ntex	h2	s1m	1080.20	ok	h2	0	0	0
go	h1s	plaintext	143521.70	ok	http/1.1	0	0	0
go	h1s	s4k	118906.50	ok	http/1.1	0	0	0
go	h1s	s1m	4892.40	ok	http/1.1	0	0	0
go	h2	plaintext	112957.90	ok	h2	0	0	0
go	h2	s4k	111788.90	ok	h2	0	0	0
go	h2	s1m	3216.60	ok	h2	0	0	0
