peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h1s	plaintext	93836.30	ok	http/1.1	0	0	0
proactr	h1s	s4k	80603.50	ok	http/1.1	0	0	0
proactr	h1s	s1m	2647.60	ok	http/1.1	0	0	0
proactr	h2	plaintext	93180.40	ok	h2	0	0	0
proactr	h2	s4k	80863.60	ok	h2	0	0	0
proactr	h2	s1m	2255.80	ok	h2	0	0	0
drogon	h1s	plaintext	152214.00	ok	http/1.1	0	0	0
drogon	h1s	s4k	151956.10	ok	http/1.1	0	0	0
drogon	h1s	s1m	9053.90	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
ntex	h1s	plaintext	137113.80	ok	http/1.1	0	0	0
ntex	h1s	s4k	138931.30	ok	http/1.1	0	0	0
ntex	h1s	s1m	2021.90	ok	http/1.1	0	0	0
ntex	h2	plaintext	124532.30	ok	h2	0	0	0
ntex	h2	s4k	129945.00	ok	h2	0	0	0
ntex	h2	s1m	1092.20	ok	h2	0	0	0
go	h1s	plaintext	144217.70	ok	http/1.1	0	0	0
go	h1s	s4k	120362.40	ok	http/1.1	0	0	0
go	h1s	s1m	4796.30	ok	http/1.1	0	0	0
go	h2	plaintext	112584.40	ok	h2	0	0	0
go	h2	s4k	112046.30	ok	h2	0	0	0
go	h2	s1m	3167.70	ok	h2	0	0	0
